"","APC","TP53"
"TCGA-5M-AAT4-01","Mutated","Mutated"
"TCGA-5M-AAT5-01","Mutated","Mutated"
"TCGA-5M-AATA-01","Mutated","Mutated"
"TCGA-5M-AATE-01","Mutated","Mutated"
"TCGA-A6-2675-01","Mutated","Mutated"
"TCGA-A6-2684-01","Mutated","Mutated"
"TCGA-A6-4105-01","Mutated","Mutated"
"TCGA-A6-5656-01","Mutated","Mutated"
"TCGA-A6-5659-01","Mutated","Mutated"
"TCGA-A6-5660-01","Mutated","Mutated"
"TCGA-A6-5662-01","Mutated","Mutated"
"TCGA-A6-5667-01","Mutated","Mutated"
"TCGA-A6-6137-01","Mutated","Mutated"
"TCGA-A6-6138-01","Mutated","Mutated"
"TCGA-A6-6142-01","Mutated","Mutated"
"TCGA-A6-6652-01","Mutated","Mutated"
"TCGA-A6-6654-01","Mutated","Mutated"
"TCGA-A6-6782-01","Mutated","Mutated"
"TCGA-A6-A567-01","Mutated","Mutated"
"TCGA-A6-A56B-01","Mutated","Mutated"
"TCGA-AA-3511-01","Mutated","Mutated"
"TCGA-AA-3655-01","Mutated","Mutated"
"TCGA-AA-3660-01","Mutated","Mutated"
"TCGA-AA-3685-01","Mutated","Mutated"
"TCGA-AA-3712-01","Mutated","Mutated"
"TCGA-AA-A01Z-01","Mutated","Mutated"
"TCGA-AD-6548-01","Mutated","Mutated"
"TCGA-AD-6888-01","Mutated","Mutated"
"TCGA-AD-6899-01","Mutated","Mutated"
"TCGA-AD-6901-01","Mutated","Mutated"
"TCGA-AD-6963-01","Mutated","Mutated"
"TCGA-AD-6965-01","Mutated","Mutated"
"TCGA-AD-A5EK-01","Mutated","Mutated"
"TCGA-AM-5821-01","Mutated","Mutated"
"TCGA-AU-3779-01","Mutated","Mutated"
"TCGA-AY-5543-01","Mutated","Mutated"
"TCGA-AY-6197-01","Mutated","Mutated"
"TCGA-AY-A54L-01","Mutated","Mutated"
"TCGA-AY-A8YK-01","Mutated","Mutated"
"TCGA-AZ-4616-01","Mutated","Mutated"
"TCGA-AZ-5407-01","Mutated","Mutated"
"TCGA-A6-5661-01","No mutation","No mutation"
"TCGA-A6-5665-01","No mutation","No mutation"
"TCGA-A6-6650-01","No mutation","No mutation"
"TCGA-A6-6653-01","No mutation","No mutation"
"TCGA-A6-6780-01","No mutation","No mutation"
"TCGA-A6-A565-01","No mutation","No mutation"
"TCGA-AA-3526-01","No mutation","No mutation"
"TCGA-AA-3663-01","No mutation","No mutation"
"TCGA-AA-3713-01","No mutation","No mutation"
"TCGA-AA-A01P-01","No mutation","No mutation"
"TCGA-AA-A02Y-01","No mutation","No mutation"
"TCGA-AD-6889-01","No mutation","No mutation"
"TCGA-AD-6895-01","No mutation","No mutation"
"TCGA-AD-6964-01","No mutation","No mutation"
"TCGA-AM-5820-01","No mutation","No mutation"
"TCGA-AU-6004-01","No mutation","No mutation"
"TCGA-AY-A71X-01","No mutation","No mutation"
"TCGA-AZ-4615-01","No mutation","No mutation"
"TCGA-AZ-4684-01","No mutation","No mutation"
